Rəng,R,G,B,W,D
Red,2074,2984,2775,1798,4095
Red,2074,2981,2774,1797,4095
Red,2074,2984,2777,1798,4095
Red,2077,2981,2776,1797,4095
Red,2074,2984,2776,1798,4095
Red,2073,2985,2777,1795,4095
Red,2073,2984,2775,1795,4095
Red,2072,2982,2772,1796,4095
Red,2073,2981,2778,1795,4095
Red,2069,2982,2775,1796,4095
Red,2074,2980,2777,1796,4095
Red,2072,2981,2776,1795,4095
Red,2073,2986,2774,1800,4095
Red,2073,2981,2778,1796,4095
Red,2075,2982,2777,1793,4095
Red,2071,2982,2776,1796,4095
Red,2073,2982,2774,1798,4095
Red,2076,2981,2776,1795,4095
Red,2073,2985,2776,1798,4095
Red,2073,2982,2780,1796,4095
Red,2074,2984,2777,1795,4095
Red,2075,2983,2777,1794,4095
Red,2075,2983,2776,1796,4095
Red,2074,2983,2777,1797,4095
Red,2073,2984,2774,1798,4095
Red,2073,2984,2774,1797,4095
Red,2073,2982,2776,1799,4095
Red,2075,2982,2776,1796,4095
Red,2074,2984,2776,1793,4095
Red,2073,2983,2776,1795,4095
Red,2072,2980,2778,1796,4095
Red,2075,2984,2775,1797,4095
Red,2073,2983,2775,1796,4095
Red,2073,2983,2775,1795,4095
Red,2073,2982,2776,1795,4095
Red,2073,2981,2776,1796,4095
Red,2075,2981,2776,1795,4095
Red,2073,2980,2778,1797,4095
Red,2073,2983,2778,1796,4095
Red,2074,2983,2776,1799,4095
Red,2076,2983,2777,1797,4095
Red,2075,2983,2778,1798,4095
Red,2075,2980,2777,1797,4095
Red,2074,2982,2775,1800,4095
Red,2072,2984,2776,1797,4095
Red,2076,2983,2777,1797,4095
Red,2074,2983,2777,1793,4095
Red,2073,2982,2777,1795,4095
Red,2073,2983,2778,1793,4095
Red,2076,2983,2776,1792,4095
Red,2072,2982,2776,1794,4095
Red,2073,2980,2777,1795,4095
Red,2075,2983,2775,1795,4095
Red,2073,2981,2771,1797,4095
Red,2073,2982,2778,1794,4095
Red,2075,2981,2775,1794,4095
Red,2072,2984,2781,1794,4095
Red,2073,2984,2775,1795,4095
Red,2073,2981,2776,1794,4095
Red,2073,2983,2776,1794,4095
Red,2074,2986,2778,1795,4095
Red,2073,2983,2776,1795,4095
Red,2073,2983,2775,1800,4095
Red,2073,2981,2776,1796,4095
Red,2069,2982,2777,1795,4095
Red,2074,2985,2777,1793,4095
Red,2073,2981,2772,1793,4095
Red,2073,2983,2776,1798,4095
Red,2074,2977,2776,1795,4095
Red,2072,2984,2776,1792,4095
Red,2072,2981,2775,1792,4095
Red,2072,2980,2775,1791,4095
Red,2071,2982,2774,1797,4095
